Category,Pd District,IncidentCount
WEAPON LAWS,TENDERLOIN,9
WARRANTS,TENDERLOIN,54
VEHICLE THEFT,TENDERLOIN,12
VANDALISM,TENDERLOIN,33
TRESPASS,TENDERLOIN,16
SUSPICIOUS OCC,TENDERLOIN,44
STOLEN PROPERTY,TENDERLOIN,4
"SEX OFFENSES, FORCIBLE",TENDERLOIN,1
SECONDARY CODES,TENDERLOIN,7
RUNAWAY,TENDERLOIN,1
ROBBERY,TENDERLOIN,27
RECOVERED VEHICLE,TENDERLOIN,5
OTHER OFFENSES,TENDERLOIN,115
NON-CRIMINAL,TENDERLOIN,99
MISSING PERSON,TENDERLOIN,12
LARCENY/THEFT,TENDERLOIN,170
KIDNAPPING,TENDERLOIN,2
FRAUD,TENDERLOIN,21
FORGERY/COUNTERFEITING,TENDERLOIN,3
EXTORTION,TENDERLOIN,2
EMBEZZLEMENT,TENDERLOIN,4
DRUNKENNESS,TENDERLOIN,5
DRUG/NARCOTIC,TENDERLOIN,52
DRIVING UNDER THE INFLUENCE,TENDERLOIN,1
DISORDERLY CONDUCT,TENDERLOIN,7
BURGLARY,TENDERLOIN,15
ASSAULT,TENDERLOIN,81
